modelId,type,inst,name,stateCode,stateLabel
aaon-vccx2-rn-rq-series-rooftop-bacnet,AV,67,Schedule Force,0,Auto (uses controller’s schedule)
aaon-vccx2-rn-rq-series-rooftop-bacnet,AV,67,Schedule Force,1,Forced Occupied
aaon-vccx2-rn-rq-series-rooftop-bacnet,AV,67,Schedule Force,2,Forced Unoccupied
aaon-vccx2-rn-rq-series-rooftop-bacnet,AV,68,HVAC Mode Override,0,Auto
aaon-vccx2-rn-rq-series-rooftop-bacnet,AV,68,HVAC Mode Override,1,Vent
aaon-vccx2-rn-rq-series-rooftop-bacnet,AV,68,HVAC Mode Override,2,Cool
aaon-vccx2-rn-rq-series-rooftop-bacnet,AV,68,HVAC Mode Override,3,Heat
aaon-vccx2-rn-rq-series-rooftop-bacnet,AV,68,HVAC Mode Override,4,Vent Dehum
aaon-vccx2-rn-rq-series-rooftop-bacnet,AV,68,HVAC Mode Override,5,Cool Dehum
aaon-vccx2-rn-rq-series-rooftop-bacnet,AV,68,HVAC Mode Override,6,Heat Dehum
aaon-vccx2-rn-rq-series-rooftop-bacnet,AV,94,Sump Drain Override,0,Auto
aaon-vccx2-rn-rq-series-rooftop-bacnet,AV,94,Sump Drain Override,1,On
belimo-6-way-epiv-modbus,MB,1,Override Control Override setpoint with defined values,0,None
belimo-6-way-epiv-modbus,MB,1,Override Control Override setpoint with defined values,1,Open Sequence 1 (0%)
belimo-6-way-epiv-modbus,MB,1,Override Control Override setpoint with defined values,2,Open Sequence 2 (100%)
belimo-6-way-epiv-modbus,MB,1,Override Control Override setpoint with defined values,3,Close (50%)
belimo-6-way-epiv-modbus,MB,1,Override Control Override setpoint with defined values,4,Vmax Sequence 1
belimo-6-way-epiv-modbus,MB,1,Override Control Override setpoint with defined values,5,Vmax Sequence 2 Default: None(0)
belimo-6-way-epiv-modbus,MB,3,Actuator Type,0,Actuator not connected
belimo-6-way-epiv-modbus,MB,3,Actuator Type,1,Air / Water
belimo-6-way-epiv-modbus,MB,3,Actuator Type,2,VAV / EPIV
belimo-6-way-epiv-modbus,MB,3,Actuator Type,3,Fire
belimo-6-way-epiv-modbus,MB,3,Actuator Type,4,Energy Valve
belimo-6-way-epiv-modbus,MB,3,Actuator Type,5,6way EPIV
belimo-6-way-epiv-modbus,MB,16,Active Sequence Indicates active sequence,0,Sequence 1 (0…33%)
belimo-6-way-epiv-modbus,MB,16,Active Sequence Indicates active sequence,1,Sequence 2 (67…100%)
belimo-6-way-epiv-modbus,MB,16,Active Sequence Indicates active sequence,2,Dead Band (34…66%)
belimo-6-way-epiv-modbus,MB,104,"Malfunction and Service Information Value is bit-coded. More than one bit can be set to 1 All bits not mentioned in the enumeration are not used for this actuator range Error flow sensor: Error with the flow sensor Actuator can’t move: Mechanical overload due to blocked valve, etc. Flow with closed valve: Flow is measured but position of valve is closed (Dead Band) Airbubbles: Airbubbles in the hydronic system. As long as there are airbubbles in the system, position control mode is active, regardless off control mode setting (Register No. 117). Flow not reached: Setpoint cannot be reached within 3min during flow control Gear disengaged active: Gear disengaged button is pressed",2,Error flow sensor Bit
