modelId,equipId,vendor,model,unitModelNumber,unitNumberKind,unitRole,status,sourceFile,sourcePage,sourceTable,fieldId,fieldKo,value,unit
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-006,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),airflowConfiguration,기류 구성,Vertical,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-006,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),cabinetSize,캐비닛,A,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-006,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),capacityClass,용량대,6 Tons,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-006,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),eer,EER,Up to 13.2,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-006,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),ieer,IEER,Up to 22.5,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-006,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),ratedAirflow,정격 풍량,"2,000",CFM
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-007,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),airflowConfiguration,기류 구성,Vertical,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-007,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),cabinetSize,캐비닛,A,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-007,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),capacityClass,용량대,7 Tons,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-007,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),eer,EER,Up to 13.2,
aaon-vccx2-rn-rq-series-rooftop-bacnet,e5,AAON,VCCX2 — RN/RQ Series Rooftop (BACnet),RN-007,modelNumber,packagedUnit,extracted,AAON_RN_Series_Brochure.pdf#cabinets,7,General data — RN Series cabinets (brochure text),ieer,IEER,Up to 22.5,
